Age,Price
4,17995
1,29995
3,41990
0,43990
4,21990
7,16990
7,30990
2,22990
4,25900
9,7900
9,7400
8,12850
8,19900
10,10990
0,83990
4,31990
6,27490
4,19990
12,8990
3,41990
4,23990
9,8995
3,31990
2,19900
4,21950
1,46995
1,53995
9,12495
5,29995
9,6850
13,11000
14,6990
14,10990
8,15990
9,19990
10,9985
7,16980
7,13995
6,24850
9,11999
8,11999
7,11999
9,7489
9,9931
8,10088
8,10193
9,11990
9,23990
8,10350
9,13990
7,14990
10,12990
9,15990
9,10551
7,10995
1,41990
0,54990
3,37995
5,20990
6,13995
6,15995
10,12495
1,25990
1,28990
0,54800
0,23000
0,26900
0,54900
10,8990
2,23990
8,19999
5,16999
7,14999
6,11571
7,11642
7,11631
10,11826
7,11847
7,11900
10,9989
8,12013
9,8999
7,12600
7,12900
9,12922
7,12995
8,12123
8,14150
11,9500
8,16440
8,24440
5,24440
8,23440
9,13440
6,18440
