"Name","Age","Class","Sex","Survived","Title"
"DOUGLAS, Mrs Mahala",48,"1st","F","Y","Mrs"
"HALE, Mr Reginald",30,"2nd","M","N","Mr "
"MAIONI, Miss Roberta Elizabeth Mary",20,"1st","F","Y","Mis"
"THEOBALD, Mr Thomas Leonard",34,"3rd","M","N","Mr "
"COOK, Mr Jacob",43,"3rd","M","N","Mr "
"SWEET, Mr George Frederick",14,"2nd","M","N","Mr "
"VARTANIAN, Mr David",22,"3rd","M","Y","Mr "
"NAVRATIL, Master Edmond Roger",2,"2nd","M","Y","Mas"
"MONTVILA, Fr Juozas",27,"2nd","M","N","Fr "
"BADT, Mr Mohamed",40,"3rd","M","N","Mr "
"CORBETT, Mrs Irene",30,"2nd","F","N","Mrs"
"CHIP, Mr Chang",32,"3rd","M","Y","Mr "
"O'CONNOR, Mr Maurice",17,"3rd","M","N","Mr "
"HARBECK, Mr William H.",45,"2nd","M","N","Mr "
"RHEIMS, Mr George Alexander Lucien",33,"1st","M","Y","Mr "
"KELLY, Miss Mary",22,"3rd","F","Y","Mis"
"PANULA, Master Jaako Arnold",15,"3rd","M","N","Mas"
"WILLER, Mr Aaron",37,"3rd","M","N","Mr "
"?ANN? AL-H?J, Mr Mans?r",35,"3rd","M","N","Mr "
"RICE, Mrs Margaret",39,"3rd","F","N","Mrs"
"TUCKER, Mr Gilbert Milligan jr",31,"1st","M","Y","Mr "
"COTTERILL, Mr Henry ",21,"2nd","M","N","Mr "
"MULVIHILL, Miss Bridget Elizabeth",25,"3rd","F","Y","Mis"
"BRYHL, Mr Kurt Arnold Gottfrid",25,"2nd","M","N","Mr "
"DONOHOE, Miss Bridget",21,"3rd","F","N","Mis"
"HANSEN, Mr Henry Damsgaard",21,"3rd","M","N","Mr "
"ALHOMäKI, Mr Ilmari Rudolf",19,"3rd","M","N","Mr "
"WINDELøV, Mr Einar",21,"3rd","M","N","Mr "
"SKOOG, Mrs Anna Bernhardina",43,"3rd","F","N","Mrs"
"GERIOS THAMAH, Mr Assaf",21,"3rd","M","N","Mr "
"JOHNSTON, Mr Andrew Emslie",35,"3rd","M","N","Mr "
"MATINOFF, Mr Nicola",30,"3rd","M","N","Mr "
"KANTOR, Mrs Miriam",24,"2nd","F","Y","Mrs"
"CLARKE, Mr Charles Valentine",29,"2nd","M","N","Mr "
"SAGE, Miss Dorothy",14,"3rd","F","N","Mis"
"NAKID, Mrs Wadi'ah ",19,"3rd","F","Y","Mrs"
"RINTAMäKI, Mr Matti",35,"3rd","M","N","Mr "
"BOWEN, Mr David John 'Dai'",26,"3rd","M","N","Mr "
"PAIN, Dr Alfred",23,"2nd","M","N","Dr "
"HEAD, Mr Christopher",42,"1st","M","N","Mr "
"RYERSON, Miss Emily Borie",18,"1st","F","Y","Mis"
"MOOR, Mrs Beila",29,"3rd","F","Y","Mrs"
"RENOUF, Mr Peter Henry",33,"2nd","M","N","Mr "
"LEINONEN, Mr Antti Gustaf",32,"3rd","M","N","Mr "
"KRAEFF, Mr Theodor",NA,"3rd","M","N","Mr "
"RICE, Master Albert",10,"3rd","M","N","Mas"
"ANDERSEN-JENSEN, Miss Carla Christine Nielsine",19,"3rd","F","Y","Mis"
"JOHANSON, Mr Jakob Alfred",34,"3rd","M","N","Mr "
"PåLSSON, Miss Stina Viola",3,"3rd","F","N","Mis"
"NILSSON, Miss Berta Olivia",18,"3rd","F","Y","Mis"
"JOHANNESEN, Mr Bernt Johannes",29,"3rd","M","Y","Mr "
"SERREPLAà, Miss Augusta Jeanne",30,"1st","F","Y","Mis"
"HOCKING, Mrs Eliza",54,"2nd","F","Y","Mrs"
"DAVIES, Mr John",22,"3rd","M","N","Mr "
"BARBER, Miss Ellen Mary",27,"1st","F","Y","Mis"
"BJöRKLUND, Mr Ernst Herbert",18,"3rd","M","N","Mr "
"FOLEY, Mr William",20,"3rd","M","N","Mr "
"KENT, Mr Edward Austin",58,"1st","M","N","Mr "
"MORROW, Mr Thomas Rowan",30,"3rd","M","N","Mr "
"HARRIS, Mr Henry Birkhardt",45,"1st","M","N","Mr "
"SPINNER, Mr Henry John",31,"3rd","M","N","Mr "
"DYKER, Mrs Anna Elisabeth Judith",22,"3rd","F","Y","Mrs"
"HUNT, Mr George Henry",34,"2nd","M","N","Mr "
"FRANKLIN, Mr Thomas Parnham",37,"1st","M","N","Mr "
"MINEFF, Mr Ivan",24,"3rd","M","N","Mr "
"DEAN, Mrs Eva Georgetta",32,"3rd","F","Y","Mrs"
"JEFFERYS, Mr Ernest Wilfred",21,"2nd","M","N","Mr "
"PEñASCO Y CASTELLANA, Mr Victor",24,"1st","M","N","Mr "
"BECKER, Master Richard F.",1,"2nd","M","Y","Mas"
"SHANNON, Mr Andrew John",35,"3rd","M","N","Mr "
"FRöLICHER-STEHLI, Mrs Margaretha Emerentia",48,"1st","F","Y","Mrs"
"RYAN, Mr Edward",24,"3rd","M","Y","Mr "
"GALLAGHER, Mr Martin",29,"3rd","M","N","Mr "
"FRANCATELLI, Miss Laura Mabel",32,"1st","F","Y","Mis"
"JACOBSOHN, Mrs Amy Frances Christy",24,"2nd","F","Y","Mrs"
"SINCOCK, Miss Maude",20,"2nd","F","Y","Mis"
"SALOMON, Mr Abraham Lincoln",43,"1st","M","Y","Mr "
"GUSTAFSSON, Mr Karl Gideon",19,"3rd","M","N","Mr "
"PERSSON, Mr Ernst Ulrik",25,"3rd","M","Y","Mr "
"TENGLIN, Mr Gunnar Isidor",25,"3rd","M","Y","Mr "
"HERMAN, Miss Kate",24,"2nd","F","Y","Mis"
"NILSSON, Mr August Ferdinand",21,"3rd","M","N","Mr "
"WIRZ, Mr Albert",17,"3rd","M","N","Mr "
"FORD, Miss Robina Maggie",7,"3rd","F","N","Mis"
"WISEMAN, Mr Philippe",54,"3rd","M","N","Mr "
"COLLANDER, Mr Erik Gustaf",27,"2nd","M","N","Mr "
"NICHOLSON, Mr Arthur Ernest",60,"1st","M","N","Mr "
"BRERETON, Mr George Andrew",37,"1st","M","Y","Mr "
"DANIELS, Miss Sarah Rebecca",36,"1st","F","Y","Mis"
